 4718;BP BIOENERGIA ITUMBIARA S/A                     ;BP BIOCOMBUSTIVEIS  ;GO002;08517600000133;EST.MUN.ITUMBIARA A CACH.DOURADA KM 18  ;FAZENDA JANDAIA     ;75503970;ITUMBIARA           ;GO;ITUMBIARA BIOENERGIA                            ;06434336000;
 4694;BP BIOENERGIA TROPICAL S/A                      ;BP BIOCOMBUSTIVEIS  ;GO002;08195806000194;ROD.GO 410 KM 51 S/N                    ;ZONA RURAL          ;75940000;EDEIA               ;GO;TROPICAL BIOENERGIA                             ;06434927000;
 4886;BRENCO COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;ATVOS               ;GO002;08070566001254;ROD.GO 341 KM 67 A DIREITA 13 KM        ;ZONA RURAL          ;75830000;MINEIROS            ;GO;MORRO VERMELHO                                  ;06436725300;
 4910;BRENCO COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;ATVOS               ;MT003;08070566001769;ROD.MT 100 KM 51 LADO ESQUERDO, S/N     ;ZONA RURAL          ;75785000;ALTO TAQUARI        ;MT;ALTO TAQUARI                                    ;06634962801;
 4989;BRENCO COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;ATVOS               ;GO002;08070566001173;ROD BR 364 KM 256 S/N                   ;ZONA RURAL          ;75823000;PEROLANDIA          ;GO;PEROLANDIA                                      ;06436391397;
 4992;BRENCO COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;ATVOS               ;MS003;08070566001688;EST COSTA RICA A ALCINOPOLIS SN KM 07   ;ZONA RURAL          ;79550000;COSTA RICA          ;MS;ETH - UNIDADE COSTA RICA                        ;06732477400;
 3880;BUNGE ACUCAR E BIOENERGIA S.A.                  ;BUNGE               ;SP010;49972326000170;FAZENDA MOEMA                           ;ZONA RURAL          ;15480000;ORINDIUVA           ;SP;MOEMA                                           ;01738169000;
 5224;BUNGE ACUCAR E BIOENERGIA S.A.                  ;BUNGE               ;MS003;49972326003861;ROD BR 463 KM 35, S/N                   ;ZONA RURAL          ;79904970;PONTA PORA          ;MS;BUNGE ACUCAR E BIOENERGIA S.A.                  ;06734204387;
 4527;CACHOOL COMERCIO E INDUSTRIA S/A                ;NENHUM              ;NE002;08470543000184;ENGENHO LIBERDADE  BLOCO C              ;ZONA RURAL          ;55500000;ESCADA              ;PE;LIBERDADE                                       ;08136715700;
 4991;CACU COMERCIO E IND. DE ACUCAR E ALCOOL LTDA    ;NENHUM              ;GO002;07996345000196;ROD VICENTINOPOLIS PORTEIRAO, S/N KM 10 ;ZONA RURAL          ;75555000;VICENTINOPOLIS      ;GO;CACU                                            ;06436911999;
 2389;CAFEALCOOL ACUCAR E ALCOOL LTDA EM REC.JUDICIAL ;NENHUM              ;SP005;55090971000161;RUA TRES BARRAS S/N                     ;TRES BARRAS         ;16500000;CAFELANDIA          ;SP;CAFEALCOOL                                      ;01435543575;
 5206;CAJABUSSU INDUSTRIA DE BEBIDAS S.A.             ;NENHUM              ;NE002;23891158000102;ROD BR 101 SUL SN KM 296,7              ;ENGENHO BOM JESUS   ;54590000;CABO STO. AGOSTINHO ;PE;CAJABUSSU INDUSTRIA DE BEBIDAS S.A.             ;08121290512;
 5025;CAMBUI ACUCAR E ALCOOL LTDA                     ;VALE DO VERDAO      ;GO002;09022388000104;ROD BR 452 SN KM 33 FAZ SAN CARLOS      ;ZONA RURAL          ;75920000;STA HELENA DE GOIAS ;GO;CAMBUI                                          ;06434308022;
