103735;USINA UNIAO E INDUSTRIA SA              ;;G3 ;10204485000199;ENGENHO BONFIM, SN                      ;ZONA RURAL               ;55510000;PRIMAVERA                ;PE ;;
103766;USINA CENTRAL OLHO DAGUA SA             ;;G3 ;11797222000101;ROD PE 082 KM 14, SN                    ;ZONA RURAL               ;55930000;CAMUTANGA                ;PE ;;
103786;USINA ACUCAREIRA SAO MANOEL SA          ;;G4 ;60329174000124;RUA BOA VISTA CAIXA POSTAL, 127         ;ZONA RURAL               ;18650970;SAO MANUEL               ;SP ;;
103800;UMOE BIOENERGY SA                       ;;G4 ;03445208000102;EST NARANDIBA PORTO ASSIS ABBUD, S/N    ;ZONA RURAL               ;19220000;NARANDIBA                ;SP ;;
103801;USINA RIO VERDE LTDA                    ;;G3 ;02043917000107;ROD GO 174 KM 32, SN                    ;ZONA RURAL               ;75901970;RIO VERDE                ;GO ;;
103805;USINA  DRACENA ACUCAR E ALCOOL LTDA     ;;G4 ;05457893000112;ROD SP 563 KM 116 GEN EUCL FIGUEIREDO,SN;ZONA RURAL               ;17900000;DRACENA                  ;SP ;;
103816;USJ ACUCAR E ALCOOL SA                  ;;G4 ;44209336003583;FAZ SAO JOAO , SN                       ;ZONA RURAL               ;13600970;ARARAS                   ;SP ;;
103818;USJ ACUCAR E ALCOOL SA                  ;;G3 ;44209336000304;ROD GO 206 KM 18   ESQUERDA 2 KM, SN    ;ZONA RURAL               ;75865000;QUIRINOPOLIS             ;GO ;;
103847;SAFI BRASIL ENERGIA SA                  ;;G3 ;07574178000195;ROD BR 163 KM 296, SN                   ;ZONA RURAL               ;79140000;NOVA ALVORADA DO SUL     ;MS ;;
103857;CIA BRASILEIRA DE ACUCAR E ALCOOL       ;;G3 ;02995097000307;EST QUEBRA COCO VERDE KM 09, SN         ;QUEBRA COCO              ;79170000;SIDROLANDIA              ;MS ;;
103869;USINA NAVIRAI SA ACUCAR E ALCOOL        ;;G3 ;07929985000183;ROD BR 163, SN KM 118                   ;ZONA RURAL               ;79950000;NAVIRAI                  ;MS ;;
103870;PEDRA AGROINDUSTRIAL SA                 ;;G4 ;71304687001845;FAZ SAO LUIZ DA ESPLANADA, SN           ;ZONA RURAL               ;14570000;BURITIZAL                ;SP ;;
103871;USINA BOA VISTA SA                      ;;G3 ;07603999000293;ROD GO 164 KM 10 ESQ 1 KM, SN           ;ZONA RURAL               ;75860000;QUIRINOPOLIS             ;GO ;;
103881;FLORALCO ACUCAR E ALCOOL LTDA           ;;G4 ;60918968000123;ESTRADA FAZENDA TUCURUVI, SN            ;MANDAGUARI               ;17830000;FLORIDA PAULISTA         ;SP ;;
103883;USA USINA SANTO ANGELO LTDA             ;;G1 ;19537471000161;ROD MG 427 KM 77, SN                    ;FAZ SAO CRISTOVAO        ;38210000;PIRAJUBA                 ;MG ;;
103917;DA MATA SA ACUCAR E ALCOOL              ;;G4 ;08110543000173;ESTR VPS 321 KM 22 8, S/N               ;ZONA RURAL               ;16880000;VALPARAISO               ;SP ;;
103921;USINA RIO PARDO SA                      ;;G4 ;08657268000102;ROD SP 280 CAST BRANCO KM 260 3 KM, SN  ;ENTRERIOS                ;18760000;CERQUEIRA CESAR          ;SP ;;
103935;VALE DO VERDAO SA ACUCAR E ALCOOL       ;;G3 ;02859452000230;FAZENDA BAESSA, SN                      ;ZONA RURAL               ;75970000;TURVELANDIA              ;GO ;;
103941;USINA BAZAN SA                          ;;G4 ;55109565000101;ACESSO FAZENDA DOIS CORREGOS, SN        ;ZONA RURAL               ;14180000;PONTAL                   ;SP ;;
103944;ATENA TECNOLOGIAS EM ENERG NATURAL LTDA ;;G4 ;07458537000149;ROD HOMERO SEVERO LINS KM 535 6, SN     ;LARANJA DOCE             ;19500000;MARTINOPOLIS             ;SP ;;
103945;CENTRAL ACUCAREIRA SANTO ANTONIO SA     ;;G3 ;12718011000190;USINA SANTO ANTONIO, SN                 ;ZONA RURAL               ;57920000;SAO LUIS DO QUITUNDE     ;AL ;;
103951;USINA BELA VISTA SA                     ;;G4 ;04969941000199;FAZENDA BELA VISTA, SN                  ;RURAL                    ;14180000;PONTAL                   ;SP ;;
103964;DESTILARIA GUARICANGA LTDA              ;;G4 ;47807797000105;ROD MARECHAL RONDON KM 383, SN          ;S LUIZ GUARICANGA        ;16670000;PRESIDENTE ALVES         ;SP ;;
103984;DIANA BIOENERGIA AVANHANDAVA SA         ;;G4 ;45902707000121;FAZENDA NOVA RECREIO, SN                ;FARELO                   ;16360000;AVANHANDAVA              ;SP ;;
104002;VALE DO PARANA SA ALCOOL E ACUCAR       ;;G4 ;05938884000143;ROD SP595 KM 84 800M ,SN                ;ZONA RURAL               ;15380000;SUZANAPOLIS              ;SP ;;
